ClassificationThreshold	0.00	0.01	0.02	0.03	0.04	0.05	0.06	0.07	0.08	0.09	0.10	0.11	0.12	0.13	0.14	0.15	0.16	0.17	0.18	0.19	0.20	0.21	0.22	0.23	0.24	0.25	0.26	0.27	0.28	0.29	0.30	0.31	0.32	0.33	0.34	0.35	0.36	0.37	0.38	0.39	0.40	0.41	0.42	0.43	0.44	0.45	0.46	0.47	0.48	0.49	0.50	0.51	0.52	0.53	0.54	0.55	0.56	0.57	0.58	0.59	0.60	0.61	0.62	0.63	0.64	0.65	0.66	0.67	0.68	0.69	0.70	0.71	0.72	0.73	0.74	0.75	0.76	0.77	0.78	0.79	0.80	0.81	0.82	0.83	0.84	0.85	0.86	0.87	0.88	0.89	0.90	0.91	0.92	0.93	0.94	0.95	0.96	0.97	0.98	0.99	1.00
Fold1	103,897,0,0	897,78,25,0	897,73,30,0	897,69,34,0	897,67,36,0	897,65,38,0	897,65,38,0	897,64,39,0	897,61,42,0	897,60,43,0	897,59,44,0	897,59,44,0	897,56,47,0	897,55,48,0	897,54,49,0	897,54,49,0	897,54,49,0	897,53,50,0	897,51,52,0	897,49,54,0	897,48,55,0	897,46,57,0	897,46,57,0	897,46,57,0	897,44,59,0	897,43,60,0	897,42,61,0	897,42,61,0	897,42,61,0	897,42,61,0	897,39,64,0	897,39,64,0	897,39,64,0	897,37,66,0	897,37,66,0	897,37,66,0	897,37,66,0	897,37,66,0	897,36,67,0	897,36,67,0	897,35,68,0	897,35,68,0	897,34,69,0	897,32,71,0	897,32,71,0	897,31,72,0	897,30,73,0	897,30,73,0	897,27,76,0	897,26,77,0	896,25,78,1	896,25,78,1	896,25,78,1	896,24,79,1	896,24,79,1	896,21,82,1	896,21,82,1	896,21,82,1	896,21,82,1	896,19,84,1	896,19,84,1	896,18,85,1	896,18,85,1	896,18,85,1	896,18,85,1	896,17,86,1	896,16,87,1	896,16,87,1	896,16,87,1	896,16,87,1	896,16,87,1	896,16,87,1	896,16,87,1	896,16,87,1	896,16,87,1	896,16,87,1	896,16,87,1	896,16,87,1	896,16,87,1	896,16,87,1	896,16,87,1	896,16,87,1	896,15,88,1	896,15,88,1	896,15,88,1	896,15,88,1	896,14,89,1	896,14,89,1	896,14,89,1	896,14,89,1	896,14,89,1	896,14,89,1	896,14,89,1	896,12,91,1	895,12,91,2	895,11,92,2	895,10,93,2	895,10,93,2	895,9,94,2	894,6,97,3	0,0,103,897	
Fold2	104,896,0,0	896,87,17,0	896,80,24,0	896,75,29,0	896,73,31,0	896,71,33,0	896,70,34,0	896,66,38,0	896,64,40,0	896,62,42,0	896,62,42,0	896,62,42,0	896,60,44,0	896,60,44,0	896,56,48,0	896,55,49,0	896,53,51,0	896,51,53,0	896,50,54,0	896,50,54,0	896,50,54,0	896,48,56,0	896,47,57,0	896,46,58,0	896,44,60,0	896,44,60,0	896,42,62,0	896,42,62,0	896,42,62,0	896,42,62,0	896,41,63,0	896,41,63,0	896,41,63,0	896,41,63,0	896,41,63,0	896,40,64,0	896,40,64,0	896,39,65,0	896,39,65,0	896,39,65,0	896,39,65,0	896,39,65,0	896,39,65,0	896,38,66,0	896,36,68,0	896,36,68,0	896,36,68,0	896,36,68,0	896,35,69,0	896,33,71,0	896,33,71,0	896,33,71,0	896,32,72,0	896,32,72,0	896,32,72,0	896,32,72,0	896,29,75,0	896,29,75,0	896,29,75,0	896,29,75,0	896,29,75,0	896,29,75,0	896,29,75,0	896,27,77,0	896,27,77,0	896,26,78,0	896,26,78,0	896,26,78,0	896,26,78,0	896,26,78,0	896,26,78,0	896,26,78,0	896,25,79,0	896,25,79,0	896,25,79,0	896,23,81,0	896,20,84,0	896,20,84,0	896,19,85,0	896,19,85,0	896,19,85,0	896,19,85,0	896,18,86,0	896,15,89,0	896,15,89,0	896,15,89,0	896,15,89,0	896,15,89,0	896,15,89,0	896,14,90,0	896,13,91,0	896,11,93,0	896,11,93,0	896,11,93,0	896,11,93,0	896,11,93,0	896,11,93,0	894,10,94,2	894,8,96,2	893,8,96,3	0,0,104,896	
Fold3	104,896,0,0	896,86,18,0	896,79,25,0	896,77,27,0	896,69,35,0	896,66,38,0	896,63,41,0	896,61,43,0	896,58,46,0	896,57,47,0	896,54,50,0	896,52,52,0	896,52,52,0	896,51,53,0	896,51,53,0	896,51,53,0	896,49,55,0	896,48,56,0	896,47,57,0	896,47,57,0	896,46,58,0	896,46,58,0	896,46,58,0	896,45,59,0	896,45,59,0	896,44,60,0	896,44,60,0	896,44,60,0	896,44,60,0	896,42,62,0	896,42,62,0	896,41,63,0	896,41,63,0	896,40,64,0	896,38,66,0	896,36,68,0	896,36,68,0	896,34,70,0	896,31,73,0	896,31,73,0	896,30,74,0	896,29,75,0	896,29,75,0	896,29,75,0	896,28,76,0	896,27,77,0	896,26,78,0	896,26,78,0	896,26,78,0	896,25,79,0	896,25,79,0	896,25,79,0	896,25,79,0	896,23,81,0	896,23,81,0	896,23,81,0	896,23,81,0	896,23,81,0	896,23,81,0	896,23,81,0	896,23,81,0	896,23,81,0	896,23,81,0	896,22,82,0	896,22,82,0	896,22,82,0	896,21,83,0	896,21,83,0	896,21,83,0	896,19,85,0	896,18,86,0	896,18,86,0	896,18,86,0	896,18,86,0	896,17,87,0	896,16,88,0	895,15,89,1	895,15,89,1	895,14,90,1	895,14,90,1	895,14,90,1	895,14,90,1	895,14,90,1	895,14,90,1	895,14,90,1	895,14,90,1	895,13,91,1	895,13,91,1	895,13,91,1	895,13,91,1	895,12,92,1	894,12,92,2	894,12,92,2	894,12,92,2	894,12,92,2	894,12,92,2	894,11,93,2	894,9,95,2	894,9,95,2	893,8,96,3	0,0,104,896	
Fold4	104,896,0,0	896,89,15,0	895,84,20,1	895,79,25,1	895,77,27,1	895,74,30,1	895,69,35,1	895,69,35,1	895,65,39,1	895,65,39,1	895,63,41,1	895,61,43,1	895,58,46,1	895,57,47,1	895,55,49,1	895,55,49,1	895,54,50,1	895,54,50,1	895,52,52,1	895,50,54,1	895,50,54,1	895,47,57,1	895,46,58,1	895,45,59,1	895,45,59,1	895,44,60,1	895,43,61,1	895,43,61,1	895,41,63,1	895,41,63,1	895,41,63,1	895,41,63,1	895,41,63,1	895,40,64,1	895,39,65,1	895,39,65,1	895,37,67,1	895,36,68,1	895,35,69,1	895,35,69,1	895,33,71,1	895,31,73,1	895,31,73,1	895,31,73,1	895,30,74,1	895,30,74,1	895,28,76,1	895,27,77,1	895,26,78,1	895,26,78,1	895,25,79,1	895,25,79,1	895,25,79,1	895,24,80,1	895,24,80,1	895,24,80,1	895,24,80,1	895,24,80,1	895,24,80,1	895,23,81,1	895,23,81,1	895,22,82,1	895,22,82,1	895,20,84,1	895,19,85,1	895,19,85,1	895,19,85,1	895,19,85,1	895,19,85,1	895,19,85,1	895,18,86,1	895,18,86,1	895,18,86,1	895,18,86,1	895,18,86,1	895,18,86,1	895,18,86,1	895,18,86,1	895,18,86,1	895,17,87,1	895,17,87,1	895,17,87,1	895,17,87,1	895,17,87,1	895,17,87,1	895,17,87,1	895,16,88,1	895,14,90,1	895,14,90,1	895,14,90,1	895,14,90,1	895,12,92,1	895,11,93,1	895,10,94,1	895,9,95,1	894,9,95,2	894,8,96,2	894,7,97,2	894,7,97,2	894,5,99,2	0,0,104,896	
Fold5	104,896,0,0	896,80,24,0	896,73,31,0	896,70,34,0	896,68,36,0	896,64,40,0	896,61,43,0	896,56,48,0	895,53,51,1	895,52,52,1	895,52,52,1	895,50,54,1	895,48,56,1	895,48,56,1	895,46,58,1	895,45,59,1	895,45,59,1	895,45,59,1	895,44,60,1	895,42,62,1	895,41,63,1	895,41,63,1	895,41,63,1	895,41,63,1	895,40,64,1	895,40,64,1	895,39,65,1	895,35,69,1	895,34,70,1	895,34,70,1	895,31,73,1	895,31,73,1	895,31,73,1	895,31,73,1	895,30,74,1	895,28,76,1	895,28,76,1	895,28,76,1	895,28,76,1	895,28,76,1	895,28,76,1	895,28,76,1	895,27,77,1	895,26,78,1	895,25,79,1	895,25,79,1	895,24,80,1	895,24,80,1	895,24,80,1	895,24,80,1	895,24,80,1	895,24,80,1	895,24,80,1	894,24,80,2	894,24,80,2	894,22,82,2	894,22,82,2	894,21,83,2	894,21,83,2	894,20,84,2	894,20,84,2	894,20,84,2	894,18,86,2	894,17,87,2	894,17,87,2	894,17,87,2	894,17,87,2	894,17,87,2	894,17,87,2	894,16,88,2	894,14,90,2	894,14,90,2	894,14,90,2	894,13,91,2	894,13,91,2	894,12,92,2	894,12,92,2	894,12,92,2	894,12,92,2	894,11,93,2	894,11,93,2	894,11,93,2	894,10,94,2	894,10,94,2	894,10,94,2	894,10,94,2	894,10,94,2	894,10,94,2	894,10,94,2	894,9,95,2	894,9,95,2	894,9,95,2	894,8,96,2	894,8,96,2	894,7,97,2	894,6,98,2	894,5,99,2	894,4,100,2	893,4,100,3	892,4,100,4	0,0,104,896	
Fold6	104,896,0,0	896,87,17,0	896,80,24,0	896,80,24,0	896,76,28,0	896,73,31,0	896,66,38,0	896,63,41,0	896,62,42,0	896,60,44,0	896,60,44,0	896,60,44,0	896,60,44,0	896,58,46,0	896,54,50,0	896,51,53,0	896,45,59,0	896,44,60,0	896,44,60,0	896,44,60,0	896,44,60,0	896,41,63,0	896,40,64,0	896,39,65,0	896,39,65,0	896,39,65,0	896,38,66,0	896,38,66,0	896,36,68,0	896,36,68,0	896,36,68,0	896,36,68,0	896,35,69,0	896,35,69,0	896,35,69,0	896,35,69,0	896,35,69,0	896,34,70,0	896,33,71,0	896,32,72,0	896,30,74,0	896,30,74,0	896,30,74,0	896,30,74,0	896,29,75,0	896,29,75,0	896,29,75,0	896,29,75,0	896,29,75,0	896,29,75,0	896,29,75,0	896,28,76,0	896,27,77,0	896,27,77,0	896,27,77,0	896,26,78,0	896,26,78,0	896,26,78,0	896,25,79,0	896,25,79,0	896,25,79,0	896,25,79,0	896,25,79,0	896,25,79,0	896,25,79,0	896,25,79,0	896,24,80,0	896,24,80,0	896,24,80,0	896,24,80,0	896,24,80,0	896,24,80,0	896,23,81,0	896,23,81,0	896,23,81,0	896,22,82,0	896,22,82,0	896,21,83,0	896,20,84,0	896,19,85,0	896,19,85,0	896,19,85,0	896,18,86,0	896,18,86,0	896,18,86,0	896,18,86,0	896,18,86,0	896,18,86,0	896,17,87,0	896,15,89,0	896,15,89,0	896,15,89,0	896,14,90,0	896,13,91,0	896,10,94,0	896,10,94,0	896,9,95,0	896,8,96,0	895,7,97,1	894,7,97,2	0,0,104,896	
Fold7	104,896,0,0	896,83,21,0	896,78,26,0	896,67,37,0	896,64,40,0	896,62,42,0	896,62,42,0	896,57,47,0	896,56,48,0	896,53,51,0	896,49,55,0	896,46,58,0	896,45,59,0	895,45,59,1	895,45,59,1	895,43,61,1	895,42,62,1	895,41,63,1	895,40,64,1	895,39,65,1	895,39,65,1	895,38,66,1	895,36,68,1	895,36,68,1	895,35,69,1	895,33,71,1	895,33,71,1	895,32,72,1	895,32,72,1	895,31,73,1	895,31,73,1	895,30,74,1	895,30,74,1	895,30,74,1	895,30,74,1	895,30,74,1	895,30,74,1	895,30,74,1	895,29,75,1	895,29,75,1	895,28,76,1	895,28,76,1	895,28,76,1	895,28,76,1	894,28,76,2	894,27,77,2	894,27,77,2	894,27,77,2	894,27,77,2	894,27,77,2	894,27,77,2	894,27,77,2	894,25,79,2	894,25,79,2	894,25,79,2	894,25,79,2	894,25,79,2	894,25,79,2	894,25,79,2	894,22,82,2	894,21,83,2	894,21,83,2	894,21,83,2	894,20,84,2	894,20,84,2	894,20,84,2	894,20,84,2	894,20,84,2	894,20,84,2	894,20,84,2	894,19,85,2	894,19,85,2	894,18,86,2	894,18,86,2	894,18,86,2	894,18,86,2	894,18,86,2	894,18,86,2	893,18,86,3	893,17,87,3	893,15,89,3	893,15,89,3	893,15,89,3	893,15,89,3	893,14,90,3	893,14,90,3	893,14,90,3	893,14,90,3	893,13,91,3	893,12,92,3	893,11,93,3	893,11,93,3	893,11,93,3	893,10,94,3	893,10,94,3	893,7,97,3	893,7,97,3	893,6,98,3	893,6,98,3	892,5,99,4	0,0,104,896	
Fold8	104,896,0,0	895,84,20,1	895,76,28,1	895,70,34,1	895,68,36,1	895,63,41,1	895,62,42,1	895,62,42,1	895,61,43,1	895,60,44,1	895,58,46,1	895,58,46,1	895,56,48,1	895,56,48,1	895,55,49,1	895,53,51,1	895,53,51,1	895,53,51,1	895,52,52,1	895,50,54,1	895,47,57,1	895,47,57,1	895,47,57,1	895,46,58,1	895,46,58,1	895,46,58,1	895,45,59,1	895,44,60,1	895,44,60,1	895,43,61,1	895,43,61,1	895,42,62,1	895,42,62,1	895,42,62,1	895,42,62,1	895,42,62,1	895,41,63,1	895,40,64,1	895,39,65,1	895,39,65,1	895,39,65,1	895,39,65,1	895,39,65,1	895,39,65,1	895,35,69,1	895,35,69,1	895,33,71,1	895,32,72,1	895,32,72,1	895,32,72,1	895,32,72,1	895,31,73,1	895,29,75,1	895,29,75,1	895,29,75,1	895,28,76,1	895,28,76,1	895,28,76,1	895,28,76,1	895,27,77,1	895,27,77,1	895,27,77,1	895,27,77,1	895,26,78,1	895,26,78,1	895,26,78,1	895,26,78,1	894,26,78,2	894,26,78,2	894,26,78,2	894,26,78,2	894,22,82,2	894,22,82,2	894,21,83,2	894,19,85,2	894,19,85,2	894,18,86,2	894,18,86,2	894,18,86,2	894,17,87,2	894,17,87,2	894,15,89,2	894,14,90,2	893,14,90,3	893,14,90,3	893,14,90,3	893,14,90,3	893,14,90,3	893,14,90,3	893,14,90,3	893,14,90,3	893,14,90,3	893,12,92,3	893,12,92,3	893,12,92,3	893,12,92,3	893,12,92,3	893,11,93,3	893,9,95,3	893,9,95,3	0,0,104,896	
Fold9	103,897,0,0	897,86,17,0	897,80,23,0	897,73,30,0	897,71,32,0	897,69,34,0	896,65,38,1	896,63,40,1	896,61,42,1	896,60,43,1	896,58,45,1	896,56,47,1	896,53,50,1	896,53,50,1	896,51,52,1	896,49,54,1	896,47,56,1	896,46,57,1	896,44,59,1	896,43,60,1	896,43,60,1	896,42,61,1	896,42,61,1	896,42,61,1	896,42,61,1	896,42,61,1	896,39,64,1	896,39,64,1	896,39,64,1	896,39,64,1	895,37,66,2	895,36,67,2	895,35,68,2	895,35,68,2	895,34,69,2	895,34,69,2	895,34,69,2	895,34,69,2	895,33,70,2	895,33,70,2	895,33,70,2	895,33,70,2	895,32,71,2	895,32,71,2	895,30,73,2	895,30,73,2	895,30,73,2	895,30,73,2	895,30,73,2	895,28,75,2	894,27,76,3	894,27,76,3	894,26,77,3	894,26,77,3	894,26,77,3	894,26,77,3	894,26,77,3	894,26,77,3	894,26,77,3	894,26,77,3	894,26,77,3	894,26,77,3	894,26,77,3	894,26,77,3	894,26,77,3	894,25,78,3	894,25,78,3	894,25,78,3	894,23,80,3	894,23,80,3	894,23,80,3	894,22,81,3	894,22,81,3	894,22,81,3	894,22,81,3	894,20,83,3	894,20,83,3	894,19,84,3	894,19,84,3	894,19,84,3	894,19,84,3	894,19,84,3	894,19,84,3	894,18,85,3	894,16,87,3	894,15,88,3	894,14,89,3	894,13,90,3	894,12,91,3	894,11,92,3	894,10,93,3	894,8,95,3	894,7,96,3	894,6,97,3	894,5,98,3	894,5,98,3	894,5,98,3	894,5,98,3	894,5,98,3	894,4,99,3	0,0,103,897	
Fold10	103,897,0,0	897,81,22,0	897,77,26,0	897,73,30,0	897,68,35,0	897,63,40,0	897,58,45,0	897,57,46,0	897,57,46,0	897,55,48,0	897,55,48,0	897,53,50,0	897,53,50,0	897,53,50,0	897,52,51,0	897,51,52,0	897,50,53,0	897,49,54,0	897,48,55,0	897,44,59,0	897,43,60,0	897,43,60,0	897,43,60,0	897,38,65,0	897,36,67,0	897,35,68,0	897,34,69,0	897,34,69,0	897,34,69,0	897,34,69,0	897,34,69,0	897,34,69,0	897,34,69,0	897,33,70,0	897,33,70,0	897,33,70,0	897,33,70,0	897,33,70,0	897,33,70,0	897,32,71,0	897,31,72,0	897,30,73,0	897,30,73,0	897,30,73,0	897,29,74,0	897,29,74,0	897,29,74,0	897,29,74,0	897,27,76,0	897,27,76,0	897,27,76,0	897,26,77,0	897,25,78,0	897,24,79,0	897,21,82,0	897,21,82,0	897,21,82,0	897,20,83,0	897,20,83,0	897,20,83,0	897,20,83,0	897,20,83,0	897,19,84,0	897,17,86,0	897,17,86,0	897,17,86,0	897,17,86,0	897,17,86,0	897,17,86,0	897,17,86,0	897,17,86,0	897,17,86,0	897,17,86,0	897,17,86,0	897,16,87,0	897,16,87,0	897,16,87,0	897,16,87,0	897,16,87,0	897,16,87,0	897,15,88,0	897,14,89,0	897,13,90,0	897,11,92,0	897,11,92,0	897,11,92,0	897,11,92,0	897,11,92,0	897,11,92,0	897,11,92,0	897,10,93,0	897,10,93,0	897,9,94,0	897,8,95,0	897,7,96,0	897,7,96,0	897,7,96,0	897,7,96,0	896,6,97,1	895,6,97,2	0,0,103,897	
